index,bitmask,num_features,mean_accuracy,mean_time
284,000000100011100,4,0.739477044,0.105640927
285,000000100011101,5,0.7700892799,0.1856820439
286,000000100011110,5,0.7321428619,0.1898955526
287,000000100011111,6,0.7602040805,0.3288443512
288,000000100100000,2,0.742028065,0.01611876083
289,000000100100001,3,0.768494891,0.1680288576
290,000000100100010,3,0.7075892948,0.1587693463
291,000000100100011,4,0.751594387,0.2430048874
292,000000100100100,3,0.7420280632,0.05752371892
293,000000100100101,4,0.7715242263,0.1521334245
294,000000100100110,4,0.7305484749,0.1605596894
295,000000100100111,5,0.7574936207,0.2287344849
296,000000100101000,3,0.7327806186,0.1126714213
297,000000100101001,4,0.7710459083,0.2621066635
298,000000100101010,4,0.7205038313,0.1683327197
299,000000100101011,5,0.7565369904,0.2318099933
300,000000100101100,4,0.7340561301,0.05970439932
301,000000100101101,5,0.7633928508,0.1396469986
302,000000100101110,5,0.7154017985,0.1431213347
303,000000100101111,6,0.7622767817,0.2130315159
304,000000100110000,3,0.7520727031,0.2293855494
305,000000100110001,4,0.7806122359,0.1401108083
306,000000100110010,4,0.7354910746,0.1648236637
307,000000100110011,5,0.7802933622,0.2258766363
308,000000100110100,4,0.7476084176,0.09497306286
309,000000100110101,5,0.7826849408,0.1433813791
310,000000100110110,5,0.7448979616,0.1474980654
311,000000100110111,6,0.7769451458,0.3393945652
312,000000100111000,4,0.7434630115,0.1021790386
313,000000100111001,5,0.764349483,0.1722594874
314,000000100111010,5,0.7372449022,0.1544800836
315,000000100111011,6,0.7793367263,0.2140776506
316,000000100111100,5,0.7444196455,0.09770113649
317,000000100111101,6,0.7812499907,0.1371983285
318,000000100111110,6,0.7270408254,0.1433150712
319,000000100111111,7,0.7629145347,0.4539968455
320,000000101000000,2,0.8711734712,0.0524994274
321,000000101000001,3,0.8510841932,0.1667048468
322,000000101000010,3,0.8424744997,0.1725339771
323,000000101000011,4,0.8584183753,0.244248936
324,000000101000100,3,0.8588966914,0.05796585826
325,000000101000101,4,0.8541135285,0.1438979676
326,000000101000110,4,0.8593750056,0.1511044966
327,000000101000111,5,0.8735650517,0.2447642358
328,000000101001000,3,0.856983427,0.155578297
329,000000101001001,4,0.8587372527,0.1576359093
330,000000101001010,4,0.8630420957,0.1607275624
331,000000101001011,5,0.8561862335,0.2121060258
332,000000101001100,4,0.8555484787,0.05394885037
333,000000101001101,5,0.8496492468,0.1241554996
334,000000101001110,5,0.8557079174,0.1426921156
335,000000101001111,6,0.8598533235,0.2077305801
336,000000101010000,3,0.8652742393,0.07649084565
337,000000101010001,4,0.8571428657,0.1930059581
338,000000101010010,4,0.8643176071,0.2493573525
339,000000101010011,5,0.8753188774,0.2357584536
340,000000101010100,4,0.8691007681,0.06879206875
341,000000101010101,5,0.8646364845,0.144319522
342,000000101010110,5,0.8684630133,0.1449040461
343,000000101010111,6,0.8764349483,0.2199365818
344,000000101011000,4,0.867028065,0.07069655205
345,000000101011001,5,0.8576211818,0.2901714728
346,000000101011010,5,0.8512436282,0.1417290055
347,000000101011011,6,0.8673469424,0.2281749302
348,000000101011100,5,0.8580994979,0.1012902282
349,000000101011101,6,0.8531568982,0.1368581075
350,000000101011110,6,0.8617665879,0.1440214301
351,000000101011111,7,0.8737244904,0.2528085909
352,000000101100000,3,0.8689413294,0.05226320517
353,000000101100001,4,0.8612882718,0.1432401384
354,000000101100010,4,0.8630420975,0.264519894
355,000000101100011,5,0.8751594387,0.1722521652
356,000000101100100,4,0.8565051109,0.08636910701
357,000000101100101,5,0.8590561263,0.1289052023
