run_index,seed,algorithm,case,bitstring,n_features,accuracy,second_objective,scalar_fitness
43,1000043,pso,breast,010001000,2,0.95564,0.0887217,0.933418
43,1000043,sga,breast,010001000,2,0.95564,0.0222222,0.933418
43,1000043,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
43,1000043,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
43,1000043,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
43,1000043,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
43,1000043,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
43,1000043,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
43,1000043,nsga2,triangle,0000101010001000,4,4,4,3.975
43,1000043,pso,triangle,0100001000000011,4,4,4,3.975
43,1000043,sga,triangle,0000000101001010,4,4,0.025,3.975
44,1000044,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
44,1000044,pso,breast,010001000,2,0.95564,0.0887217,0.933418
44,1000044,sga,breast,010001000,2,0.95564,0.0222222,0.933418
44,1000044,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
44,1000044,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
44,1000044,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
44,1000044,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
44,1000044,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
44,1000044,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
44,1000044,nsga2,triangle,1000010010000010,4,4,4,3.975
44,1000044,pso,triangle,0010010011000000,4,4,4,3.975
44,1000044,sga,triangle,1000001000100010,4,4,0.025,3.975
45,1000045,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
45,1000045,pso,breast,010001000,2,0.95564,0.0887217,0.933418
45,1000045,sga,breast,010001000,2,0.95564,0.0222222,0.933418
45,1000045,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
45,1000045,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
45,1000045,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
45,1000045,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
45,1000045,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
45,1000045,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
45,1000045,nsga2,triangle,0000010001110000,4,4,4,3.975
45,1000045,pso,triangle,0010010000000011,4,4,4,3.975
45,1000045,sga,triangle,0001001000001100,4,4,0.025,3.975
46,1000046,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
46,1000046,pso,breast,010001000,2,0.95564,0.0887217,0.933418
46,1000046,sga,breast,010001000,2,0.95564,0.0222222,0.933418
46,1000046,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
46,1000046,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
46,1000046,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
46,1000046,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
46,1000046,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
46,1000046,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
46,1000046,nsga2,triangle,0110000000000110,4,4,4,3.975
46,1000046,pso,triangle,0010101000100000,4,4,4,3.975
46,1000046,sga,triangle,0010001001001000,4,4,0.025,3.975
47,1000047,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
47,1000047,pso,breast,010001000,2,0.95564,0.0887217,0.933418
47,1000047,sga,breast,010001000,2,0.95564,0.0222222,0.933418
47,1000047,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
47,1000047,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
47,1000047,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
47,1000047,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
47,1000047,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
47,1000047,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
47,1000047,nsga2,triangle,0011001001000000,4,4,4,3.975
47,1000047,pso,triangle,0010010000001001,4,4,4,3.975
47,1000047,sga,triangle,1100010001000000,4,4,0.025,3.975
48,1000048,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
48,1000048,pso,breast,010001000,2,0.95564,0.0887217,0.933418
48,1000048,sga,breast,010001000,2,0.95564,0.0222222,0.933418
48,1000048,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
48,1000048,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
48,1000048,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
48,1000048,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
48,1000048,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
48,1000048,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
48,1000048,nsga2,triangle,1100000000110000,4,4,4,3.975
48,1000048,pso,triangle,1000001100001000,4,4,4,3.975
48,1000048,sga,triangle,1010001000000010,4,4,0.025,3.975
49,1000049,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
49,1000049,pso,breast,010001000,2,0.95564,0.0887217,0.933418
49,1000049,sga,breast,010001000,2,0.95564,0.0222222,0.933418
49,1000049,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
49,1000049,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
49,1000049,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
49,1000049,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
49,1000049,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
49,1000049,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
49,1000049,nsga2,triangle,0000001010010010,4,4,4,3.975
49,1000049,pso,triangle,1001000000100001,4,4,4,3.975
49,1000049,sga,triangle,0001010100000010,4,4,0.025,3.975
50,1000050,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
50,1000050,pso,breast,010001000,2,0.95564,0.0887217,0.933418
50,1000050,sga,breast,010001000,2,0.95564,0.0222222,0.933418
50,1000050,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
50,1000050,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
50,1000050,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
50,1000050,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
50,1000050,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
50,1000050,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
50,1000050,nsga2,triangle,0100000000001101,4,4,4,3.975
50,1000050,pso,triangle,0011000100000100,4,4,4,3.975
50,1000050,sga,triangle,0001000010010001,4,4,0.025,3.975
51,1000051,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
51,1000051,pso,breast,010001000,2,0.95564,0.0887217,0.933418
51,1000051,sga,breast,010001000,2,0.95564,0.0222222,0.933418
51,1000051,nsga2,credit,101111001111111,12,0.890944,0.336846,0.810944
51,1000051,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
51,1000051,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
51,1000051,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
51,1000051,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
51,1000051,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
51,1000051,nsga2,triangle,0001110001000000,4,4,4,3.975
51,1000051,pso,triangle,0010001000010010,4,4,4,3.975
51,1000051,sga,triangle,0001000011010000,4,4,0.025,3.975
52,1000052,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
52,1000052,pso,breast,010001000,2,0.95564,0.0887217,0.933418
52,1000052,sga,breast,010001000,2,0.95564,0.0222222,0.933418
52,1000052,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
52,1000052,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
52,1000052,sga,credit,000100001100011,5,0.887117,0.0333333,0.853784
52,1000052,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
52,1000052,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
52,1000052,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
52,1000052,nsga2,triangle,1100010010000000,4,4,4,3.975
52,1000052,pso,triangle,1000000000010101,4,4,4,3.975
52,1000052,sga,triangle,0001000000011010,4,4,0.025,3.975
53,1000053,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
53,1000053,pso,breast,010001000,2,0.95564,0.0887217,0.933418
53,1000053,sga,breast,010001000,2,0.95564,0.0222222,0.933418
53,1000053,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
53,1000053,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
53,1000053,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
53,1000053,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
53,1000053,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
53,1000053,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
53,1000053,nsga2,triangle,1000101001000000,4,4,4,3.975
53,1000053,pso,triangle,0111000100000000,4,4,4,3.975
53,1000053,sga,triangle,0001001001000100,4,4,0.025,3.975
54,1000054,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
54,1000054,pso,breast,010001000,2,0.95564,0.0887217,0.933418
54,1000054,sga,breast,010001000,2,0.95564,0.0222222,0.933418
54,1000054,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
54,1000054,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
54,1000054,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
54,1000054,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
54,1000054,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
