generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,3442,0000110101110010,7,1,7,3,0
0,20908,0101000110101100,7,1,7,3,0
0,55562,1101100100001010,7,1,7,3,0
0,23121,0101101001010001,7,1,7,3,0
0,6598,0001100111000110,7,1,7,3,0
0,23650,0101110001100010,7,1,7,3,0
0,30996,0111100100010100,7,1,7,3,0
0,3731,0000111010010011,7,1,7,3,0
0,48168,1011110000101000,7,1,7,3,0
0,37578,1001001011001010,7,1,7,3,0
0,42489,1010010111111001,10,2,10,3,0
0,62347,1111001110001011,10,2,10,3,0
0,62481,1111010000010001,7,1,7,3,0
0,18759,0100100101000111,7,1,7,3,0
0,17784,0100010101111000,7,1,7,3,0
0,48564,1011110110110100,10,2,10,3,0
0,30617,0111011110011001,10,2,10,3,0
0,7155,0001101111110011,10,2,10,3,0
0,36775,1000111110100111,10,2,10,3,0
0,51123,1100011110110011,10,2,10,3,0
0,8375,0010000010110111,7,1,7,3,0
0,22027,0101011000001011,7,1,7,3,0
0,7394,0001110011100010,7,1,7,3,0
0,60936,1110111000001000,7,1,7,3,0
0,50792,1100011001101000,7,1,7,3,0
0,10343,0010100001100111,7,1,7,3,0
0,37267,1001000110010011,7,1,7,3,0
0,47469,1011100101101101,10,2,10,3,0
0,10646,0010100110010110,7,1,7,3,0
0,25475,0110001110000011,7,1,7,3,0
0,45012,1010111111010100,10,2,10,3,0
0,28022,0110110101110110,10,2,10,3,0
0,7825,0001111010010001,7,1,7,3,0
0,50325,1100010010010101,7,1,7,3,0
0,10637,0010100110001101,7,1,7,3,0
0,60122,1110101011011010,10,2,10,3,0
0,57225,1101111110001001,10,2,10,3,0
0,5175,0001010000110111,7,1,7,3,0
0,30566,0111011101100110,10,2,10,3,0
0,54040,1101001100011000,7,1,7,3,0
0,36426,1000111001001010,7,1,7,3,0
0,31728,0111101111110000,10,2,10,3,0
0,18941,0100100111111101,10,2,10,3,0
0,61130,1110111011001010,10,2,10,3,0
0,1983,0000011110111111,10,2,10,3,0
0,35732,1000101110010100,7,1,7,3,0
0,33683,1000001110010011,7,1,7,3,0
0,43958,1010101110110110,10,2,10,3,0
0,29152,0111000111100000,7,1,7,3,0
0,44180,1010110010010100,7,1,7,3,0
0,44762,1010111011011010,10,2,10,3,0
0,62551,1111010001010111,10,2,10,3,0
0,21290,0101001100101010,7,1,7,3,0
0,38747,1001011101011011,10,2,10,3,0
0,15846,0011110111100110,10,2,10,3,0
0,58860,1110010111101100,10,2,10,3,0
0,59256,1110011101111000,10,2,10,3,0
0,36765,1000111110011101,10,2,10,3,0
0,30808,0111100001011000,7,1,7,3,0
0,50628,1100010111000100,7,1,7,3,0
0,8427,0010000011101011,7,1,7,3,0
0,49524,1100000101110100,7,1,7,3,0
0,54522,1101010011111010,10,2,10,3,0
0,47454,1011100101011110,10,2,10,3,0
0,31490,0111101100000010,7,1,7,3,0
0,30140,0111010110111100,10,2,10,3,0
0,54077,1101001100111101,10,2,10,3,0
0,43755,1010101011101011,10,2,10,3,0
0,6578,0001100110110010,7,1,7,3,0
0,43390,1010100101111110,10,2,10,3,0
0,23746,0101110011000010,7,1,7,3,0
0,3367,0000110100100111,7,1,7,3,0
0,35773,1000101110111101,10,2,10,3,0
0,41081,1010000001111001,7,1,7,3,0
0,37205,1001000101010101,7,1,7,3,0
0,59928,1110101000011000,7,1,7,3,0
0,48669,1011111000011101,10,2,10,3,0
0,53325,1101000001001101,7,1,7,3,0
1,16930,0100001000100010,4,4,4,0,0
1,9280,0010010001000000,3,3,3,0,0
1,1042,0000010000010010,3,3,3,0,0
1,263,0000000100000111,4,4,4,0,0
1,9344,0010010010000000,3,3,3,0,0
1,20520,0101000000101000,4,4,4,0,0
1,306,0000000100110010,4,4,4,0,0
1,265,0000000100001001,3,3,3,0,0
1,9228,0010010000001100,4,4,4,0,0
1,57600,1110000100000000,4,4,4,0,0
1,9729,0010011000000001,4,4,4,0,0
1,33313,1000001000100001,4,4,4,0,0
1,41224,1010000100001000,4,4,4,0,0
1,2314,0000100100001010,4,4,4,0,0
1,24706,0110000010000010,4,4,4,0,0
1,105,0000000001101001,4,4,4,0,0
1,2316,0000100100001100,4,4,4,0,0
1,49666,1100001000000010,4,4,4,0,0
1,34817,1000100000000001,3,3,3,0,0
1,225,0000000011100001,4,4,4,0,0
1,34840,1000100000011000,4,4,4,0,0
1,9228,0010010000001100,4,4,4,0,0
1,6216,0001100001001000,4,4,4,0,0
1,4632,0001001000011000,4,4,4,0,0
1,24706,0110000010000010,4,4,4,0,0
1,2061,0000100000001101,4,4,4,0,0
1,12292,0011000000000100,3,3,3,0,0
1,41224,1010000100001000,4,4,4,0,0
1,37376,1001001000000000,3,3,3,0,0
1,49155,1100000000000011,4,4,4,0,0
1,4102,0001000000000110,3,3,3,0,0
1,8211,0010000000010011,4,4,4,0,0
1,41473,1010001000000001,4,4,4,0,0
1,9233,0010010000010001,4,4,4,0,inf
1,8832,0010001010000000,3,3,3,0,1
1,2352,0000100100110000,4,4,4,0,0
1,16536,0100000010011000,4,4,4,0,0
1,38016,1001010010000000,4,4,4,0,0
1,1092,0000010001000100,3,3,3,0,0
1,19460,0100110000000100,4,4,4,0,0
1,49168,1100000000010000,3,3,3,0,0
1,12294,0011000000000110,4,4,4,0,0
1,1030,0000010000000110,3,3,3,0,0
1,18816,0100100110000000,4,4,4,0,0
1,40968,1010000000001000,3,3,3,0,0
1,8992,0010001100100000,4,4,4,0,0
1,77,0000000001001101,4,4,4,0,0
1,154,0000000010011010,4,4,4,0,0
1,49408,1100000100000000,3,3,3,0,0
1,36873,1001000000001001,4,4,4,0,0
1,277,0000000100010101,4,4,4,0,0
1,33184,1000000110100000,4,4,4,0,1
1,34832,1000100000010000,3,3,3,0,0
1,8737,0010001000100001,4,4,4,0,0
1,32787,1000000000010011,4,4,4,0,0
1,32968,1000000011001000,4,4,4,0,0
1,9729,0010011000000001,4,4,4,0,0
1,17028,0100001010000100,4,4,4,0,0
1,12288,0011000000000000,2,2,2,0,1
1,16652,0100000100001100,4,4,4,0,0
1,16389,0100000000000101,3,3,3,0,0
1,32908,1000000010001100,4,4,4,0,0
1,3137,0000110001000001,4,4,4,0,0
1,16929,0100001000100001,4,4,4,0,0
1,4736,0001001010000000,3,3,3,0,0
1,8705,0010001000000001,3,3,3,0,0
1,28688,0111000000010000,4,4,4,0,0
1,9352,0010010010001000,4,4,4,0,0
1,17441,0100010000100001,4,4,4,0,0
1,8712,0010001000001000,3,3,3,0,0
1,12300,0011000000001100,4,4,4,0,0
1,1033,0000010000001001,3,3,3,0,0
1,530,0000001000010010,3,3,3,0,0
1,9473,0010010100000001,4,4,4,0,0
1,49666,1100001000000010,4,4,4,0,0
1,37889,1001010000000001,4,4,4,0,0
1,8460,0010000100001100,4,4,4,0,0
1,35074,1000100100000010,4,4,4,0,0
1,264,0000000100001000,2,2,2,0,inf
1,34848,1000100000100000,3,3,3,0,0
1,16449,0100000001000001,3,3,3,0,0
1,19520,0100110001000000,4,4,4,0,0
1,4099,0001000000000011,3,3,3,0,0
1,41224,1010000100001000,4,4,4,0,0
1,8225,0010000000100001,3,3,3,0,0
1,17417,0100010000001001,4,4,4,0,0
1,291,0000000100100011,4,4,4,0,0
1,1188,0000010010100100,4,4,4,0,0
1,19072,0100101010000000,4,4,4,0,0
1,35844,1000110000000100,4,4,4,0,0
1,276,0000000100010100,3,3,3,0,0
1,420,0000000110100100,4,4,4,0,0
1,36928,1001000001000000,3,3,3,0,0
1,33296,1000001000010000,3,3,3,0,0
1,387,0000000110000011,4,4,4,0,0
1,296,0000000100101000,3,3,3,0,0
1,32794,1000000000011010,4,4,4,0,0
1,24648,0110000001001000,4,4,4,0,0
